UBIGEO,DISTRITO,num_hospitales
100902,CODO DEL POZUZO,0
100904,TOURNAVISTA,0
250305,ALEXANDER VON HUMBOLDT,0
250302,IRAZOLA,0
250304,NESHUYA,0
250301,PADRE ABAD,0
250303,CURIMANA,0
100901,PUERTO INCA,0
250106,NUEVA REQUENA,0
250102,CAMPOVERDE,0
160601,CONTAMANA,0
130104,HUANCHACO,0
130207,SANTIAGO DE CAO,0
130110,SIMBAL,0
130204,MAGDALENA DE CAO,0
130203,CHOCOPE,0
130205,PAIJAN,0
130613,SINSICAP,0
130202,CHICAMA,0
130206,RAZURI,0
131103,MARMOT,0
130201,ASCOPE,0
131101,CASCAS,0
130208,CASA GRANDE,0
60505,SAN BENITO,0
130701,SAN PEDRO DE LLOC,0
60503,CUPISNIQUE,0
230110,CORONEL GREGORIO ALBARRACIN LANCHIPA,0
230108,POCOLLAY,0
230103,CALANA,0
230101,TACNA,0
230109,SAMA,0
230104,CIUDAD NUEVA,0
230303,ITE,0
180301,ILO,0
230102,ALTO DE LA ALIANZA,0
230106,PACHIA,0
230404,ESTIQUE-PAMPA,0
230403,ESTIQUE,0
230407,TARUCACHI,0
230105,INCLAN,0
230301,LOCUMBA,0
180302,EL ALGARROBAL,0
230107,PALCA,0
230402,HEROES ALBARRACIN,0
230204,CURIBAYA,0
230405,SITAJARA,0
230206,QUILAHUANI,0
180303,PACOCHA,0
230401,TARATA,0
230205,HUANUARA,0
230408,TICACO,0
230302,ILABAYA,0
180104,SAMEGUA,0
40706,PUNTA DE BOMBON,0
230202,CAIRANI,0
230406,SUSAPAYA,0
40703,DEAN VALDIVIA,0
230203,CAMILACA,0
40705,MEJIA,0
210502,CAPAZO,0
230201,CANDARAVE,0
40704,ISLAY,0
180106,TORATA,0
180101,MOQUEGUA,0
180103,CUCHUMBAYA,0
210405,PISACOMA,0
40702,COCACHACRA,0
40701,MOLLENDO,0
180205,LA CAPILLA,0
40201,CAMANA,0
180209,QUINISTAQUILLAS,0
40202,JOSE MARIA QUIMPER,0
210404,KELLUYO,0
180105,SAN CRISTOBAL,0
210402,DESAGUADERO,0
40208,SAMUEL PASTOR,0
40115,QUEQUEÑA,0
180201,OMATE,0
210504,SANTA ROSA,0
40127,YARABAMBA,0
40114,POLOBAYA,0
40111,MOLLEBAYA,0
180102,CARUMAS,0
180208,PUQUINA,0
40207,QUILCA,0
180203,COALAQUE,0
210403,HUACULLANI,0
40122,SOCABAYA,0
40113,POCSI,0
40107,JACOBO HUNTER,0
40116,SABANDIA,0
210505,CONDURIRI,0
40129,JOSE LUIS BUSTAMANTE Y RIVERO,0
40123,TIABAYA,0
40117,SACHACA,0
40105,CHARACATO,0
40108,LA JOYA,0
40112,PAUCARPATA,0
40121,SANTA RITA DE SIGUAS,0
40101,AREQUIPA,0
180207,MATALAQUE,0
40126,YANAHUARA,0
40124,UCHUMAYO,0
40205,NICOLAS DE PIEROLA,0
210407,ZEPITA,0
40118,SAN JUAN DE SIGUAS,0
211303,COPANI,0
40109,MARIANO MELGAR,0
180202,CHOJATA,0
40204,MARISCAL CACERES,0
40110,MIRAFLORES,0
40106,CHIGUATA,0
40102,ALTO SELVA ALEGRE,0
211304,CUTURAPI,0
210406,POMATA,0
211302,ANAPIA,0
180206,LLOQUE,0
211307,UNICACHI,0
211301,YUNGUYO,0
211305,OLLARAYA,0
40104,CERRO COLORADO,0
211306,TINICACHI,0
210401,JULI,0
40103,CAYMA,0
180211,YUNGA,0
40125,VITOR,0
40120,SANTA ISABEL DE SIGUAS,0
40413,URACA,0
40520,MAJES,0
40206,OCOÑA,0
210503,PILCUYO,0
180204,ICHUÑA,0
